username,ownerage,genderowner,ownersmoking,ownercleanlinees,payment,deposit,term,available,utilities,features,building,featuresmore,location,petslivehere,agerange,gender,smoking,cleanliness,petsallowed,rooms,vacancy,internet,gym,placetype,pool,wifi,ageMin,ageMax,music,guests,drugs,lateNights,washer,dryer,furnished,kitchen,closet,air conditioner,heater,haspet,sleeppattern,alcohol,noise,socializing,cooking,latitude,longitude,foodpref
Luckymume,49,O,True, Moderately Clean,680,200,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Private bathroom, Cable/satellite hookup, Closet","House, 
4 Bedroom, 
2 Bath","Air conditioning, Basketball courts, Cable/satellite, Covered parking, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Yard"," Austin, TX, 78735  ",True,30 - 99,F,True,"Clean, Average, Messy",True,4,4,True,False,House,False,True,30,99,True,True,False,True,True,True,False,True,True,True,True,,Early Bird,True,True,Very Social,5,30.2711286,-97.7436994,Non-Vegetarian
dmberry,50,M,True, Moderately Clean,"
700",250,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
4 Bedroom, 
3 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," Austin, TX, 78754  ",True,25 - 39,A,True,"Clean, Average, Messy",True,4,4,True,True,House,True,True,25,39,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,Moderately Social,1,30.2711286,-97.7436994,Non-Vegetarian
zookie,26,M,True, Moderately Clean,"
550",100,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," Austin, TX, 78729  ",False,17 - 50,A,True,"Clean, Average, Messy",False,3,3,True,True,House,True,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,5,30.2711286,-97.7436994,Vegetarian
alico,38,O,False,Clean,"
900",500,Month to month,2016-12-01,N/A,"Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," Hutto, TX, 78634  ",False,17 - 50,M,True,"Clean, Average",False,3,3,True,True,House,True,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,Very Social,5,30.5427638,-97.5468897,Vegan
Machel,46,M,True, Moderately Clean,"
400",0,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," Taylor, TX, 76574  ",False,17 - 50,F,True,"Clean, Average",False,3,3,True,True,House,True,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,Moderately Social,3,30.571087,-97.409177,Vegetarian
Mrjoshua,50,F,True,Clean,"
700",100,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," New Braunfels, TX, 78130  ",False,17 - 50,M,True,Clean,False,3,3,True,True,House,True,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,I keep to myself,2,29.7028266,-98.1257347,Vegetarian
SoulLaughter,23,M,False, Moderately Clean,"
450",450,Month to month,2016-12-01,"Electricity, Water, Trash pickup","Private bedroom, Private bathroom, Balcony/patio, Cable/satellite hookup, Closet, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Alarm system, Balcony/patio, Basketball courts, Cable/satellite, Covered parking, Dishwasher, Fireplace, Fitness center, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Pool, Storage, Tennis courts, Yard"," New Braunfels, TX, 78132  ",False,17 - 50,M,True,"Clean, Average, Messy",False,3,3,True,True,House,True,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,False,False,Very Social,6,29.7028266,-98.1257347,Vegetarian
Movingman,49,F,True, Moderately Clean,"
500",0,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Cable/satellite hookup, Closet, Master bedroom, Walk-in closet","House, 
3 Bedroom, 
2.5 Bath","Air conditioning, Cable/satellite, Dishwasher, Fireplace, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Yard"," Austin, TX, 78748  ",True,18 - 50,A,True,"Clean, Average",True,3,3,True,False,House,False,True,18,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,Moderately Social,7,30.2711286,-97.7436994,Non-Vegetarian
Dre0311,25,F,True,Clean,"
750",750,Month to month,2016-12-01,"Electricity, Gas, Water, Trash pickup","Private bedroom, Private bathroom, Closet","House, 
3 Bedroom, 
2 Bath","Air conditioning, Balcony/patio, Basketball courts, Dishwasher, Fireplace, Garage, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Storage, Yard"," Kyle, TX, 78640  ",True,17 - 50,A,True,Clean,True,3,3,True,False,House,False,True,17,50,True,True,True,True,True,True,False,True,True,True,True,,Early Bird,True,True,I keep to myself,6,29.9892928,-97.8772102,Non-Vegetarian
JonnyB,54,F,False, Moderately Clean,"
800",0,Month to month,2016-12-01,"Electricity, Gas, Water","Private bedroom, Cable/satellite hookup, Closet, Furnished","House, 
3 Bedroom, 
1 Bath","Air conditioning, Cable/satellite, Dishwasher, High speed Internet, Laundry facility, Washer/dryer in unit, Microwave, Parking, Storage, Yard"," Austin, TX, 78845  ",True,17 - 50,F,True,"Clean, Average",True,3,3,True,False,House,False,True,17,50,True,True,True,True,True,True,True,True,True,True,True,,Early Bird,True,True,Very Social,6,30.2711286,-97.7436994,Vegan
